"Create New Product Return","Créer un nouveau RMA"
"Order Status","Status de la commande"
"Ship to","Adresse de livraison"
"Order #","Commande nº "
"Select Order for new Product Return","Sélectionnez une commande pour crée un nouveau retour produit"
"Select Order for Product Return","Sélectionnez une commande pour un retour produit"
"No Items Found","Pas d enregistrement trouvé"
"Customer","Client"
"Purchased On","Date d achat"
"Bill to Name","Nom (Fact.)"
"Product Return Deleted","Retour produit supprimé"
"Data saved","Données sauvegardées"
"customer successfully notified.","Client notifié"
"Product Return successfully sent.","Retour produit envoyé"
"You need 1 products with quantity higher than 0 .","Vous avez besoin d un produit avec une quantité superieur a 0."
"Are you sure ?","Vous êtes sûr ?"
"Edit Product Return","Edition Retour Produit"
"Products Reception Date","Date de réception produit"
"Products Return Date","Date du retour produit"
"Qty Shipped","Qte livré"
"Qty to return","Qte retournée"
"Customer Description","Description client"
"Private comments","Commentaires privés"
"Public Comments","Commentaires publiques"
"Technical Cost","Frais technique"
"Technical Cost Caption","Libelle Frais technique"
"Shipping Cost","Frais de Livraison"
"Select","Choisir"
"You have already perform an action, see order # ","Vous avez déj&agrave; effectué une action, voir commande N "
"You have already perform an action, see credit memo # ","Vous avez déj&agrave; effectué une action, voir avoir N "
"expired","Expiré"
"new","Nouveau"
"product_return_accepted","Retour produit accepte"
"product_return_refused","Retour produit refuse"
"product_received","Produits recus"
"product_received_but_refused","Produits recus mais refuses"
"expertise_product","Produit en expertise"
"rma_accepted","Rma Accepte"
"rma_refused","Rma Refuse"
"Print Product Return Form","Imprimer le formulaire de retour"
"complete","Termin&eacute;"
"Template RMA Complete","Template RMA Terminé"
"Order refunded","Remboursement"
"Product returned","Produit renvoyé"
"Product exchange","Echange produit"
"Credit Memo #%s","Avoir #%s"
"Order #%s","Commande #%s"
"Unable to notify customer","Impossible d'avertir le client"
"refund","Remboursement"
"product_return","Renvoi produit"
"exchange","Echange"
"Refund shipping fees","Rembourser les frais de port"
"Back products to stock","Restocker les produits"
"( Guest )","( Invité )"
"Product Return Edit","Edition de rma"
"Save","Enregister"
"Print","Imprimer"
"Delete","Supprimer"
"Notify Customer","Notification client"
"Main","Information"
"History","Historique"
"Action","Action"
"Default shipment","Méthode de livraison par defaut"
"Default Fake product Name","Nom du faux produit par defaut"
"Max days for request","Maximum de jour pour une demande de rma"
"Copy To","Copie &agrave;"
"PDF Header Text","Texte En-tete PDF"
"PDF Footer Text","Texte pied de page PDF"
"PDF Comment","Commentaire PDF"
"Products received","Produits recus"
"Available Qty","Qte dispo"
"Serials","Num&eacute;ros de s&eacute;rie"
"Process products","Traiter les produits"
"No action","Aucune action"
"Return product","Renvoyer les produits"
"Refund","Rembourser"
"Exchange","Echanger"
"Product destination","Destination du produit"
"Credit memo settings","Param&egrave;tres pour le remboursement"
"Order settings","Param&egrave;tres pour la commande"
"Payment Method","M&eacute;thode de paiement"
"Shipping Method","M&eacute;thode de livraison"
"Customer notified","Client notifi&eacute;"
"Rma status change to ","Status chang&eacute; pour "
"Please select at least on product","Veuillez selectionner un produit"
"Please select destination for products to process","Veuillez selectionner les destinations des produits"
"Please confirm products processing","Confirmez vous la creation des commandes et/ou remboursement ?"
"Customer Returns","Retours client"
"Pending products","Produits &agrave; traiter"
"View","Voir"
"Customer Return","Retour client"
"Received on","Recu le"
"Destination","Destination"
"Set as processed","Marquer comme traité"
"Print and set as processed","Imprimer et Marquer comme traité"
"Products to process","Produits a traiter"
"Credit memo #%s created","Remboursement #%s cr&eacute;&eacute;e"
"Order #%s created","Commande #%s cr&eacute;&eacute;ee"
"Product reception processed","Reception des produits prises en compte"
"Order : %s","Commande : %s"
"Date : %s","Date : %s"
"Valid until %s","Numero valide jusqu'au %s"
"Comments :","Commentaires :"
"New status for product received","Nouveau statut lors du clic sur produits recus"
"Display disabled shipping methods","Afficher les methodes de livraisons desactivees"
"Display disabled payment methods","Afficher les methodes de paiement desactivees"
"Created for Product return #%s","Créé pour le RMA no %s"
"Serials : %s","No de serie : %s"
"Add RMA tab in order preparation screen","Ajoute l'onglet RMA dans la pr&eacute;paration de commande"
"Products reservation","R&eacute;servation de produits"
"Reserved products","Produits r&eacute;serv&eacute;s"
"Add product to reservation","R&eacute;server des produits"
"An error occured : %s","Une erreur est survenue : %s"
"Release","Lib&eacute;rer"
"Product %s reserved","Produit %s r&eacute;serv&eacute;"
"Product %s released","Produit %s lib&eacute;r&eacute;"
"Product already reserved for RMA","Produit d&eacute;ja r&eacute;serv&eacute;"
"Default shipment method","M&eacute;thode d'exp&eacute;dition par d&eacute;faut"
"Default payment method","M&eacute;thode de paiement par d&eacute;faut"
"Template Waiting for Supplier","Template en attente fournisseur"
"New status for request","Statut pour les demandes de RMA"
"(incl tax)","(TTC)"
"(excl tax)","(HT)"
"Print return form","Imprimer le bon de retour"
"Reserved Qty","Qte r&eacute;serv&eacute;e"
"Name","Nom"
"Manufacturer","Fabricant"
"Add a product to Products Pending Supplier Return","Ajouter un produit aux produits en attente de retour fournisseur"
"Supplier Return Edit","Edition de retour fournisseur"
"Edit informations for a product pending a supplier return","Edition d'un produit en attente de retour fournisseur"
"Product ID","ID Produit"
"Product SKU","SKU"
"Product Name","Nom"
"Product Serial","Numéro de série"
"Supplier","Fournisseur"
"Unknown Supplier","Fournisseur inconnu"
"Unknown supplier","Fournisseur inconnu"
"Warning! if you set the serial number, the supplier will be automatically replaced if he is false.","Attention, si vous renseignez le numéro de série, le fournisseur sera automatiquement remplac&eacute; s'il est faux."
"Status","Statut"
"Reference","Référence"
"Supplier Reference","R&eacute;f&eacute;rence fournisseur"
"Supplier reference","R&eacute;f&eacute;rence fournisseur"
"Created at","Cr&eacute;&eacute; le"
"Updated at","Mis à jour le"
"Supplier Name","Fournisseur"
"Product Supplier SKU","SKU Fournisseur"
"Supplier Informations","Information fournisseur"
"Creation date","Date de cr&eacute;ation"
"Edit","Editer"
"Create Supplier Return","Créer un retour fournisseur"
"Destroy Product","Détruire le produit"
"Assign a supplier","Assigner &agrave; un fournisseur"
"Products Pending Supplier Return","Produits en attente de retour fournisseur"
"Supplier ID","ID Fournisseur",
"Total Number Of Products","Nombre total de produits"
"Total Purchase Price","Prix total d'achat"
"Unable to find purchase price for some products","Impossible de trouver le prix pour certains produits"
"Add product","Ajouter un produit"
"Product destroyed after a supplier return","Produit d&eacute;truit apr&egrave;s un retour fournisseur"
"Product back after a supplier return","Produit de retour après un retour fournisseur"
"Purchase price","Prix d'achat"
"No Item Found","Aucune entrée trouvée"
"Purchase Order","Commande fournisseur"
"Change products status to Refunded","Changer le statut en Remboursé"
"Change products status to Standard Exchange","Changer le statut en Echange Standard"
"Change products status to Credit Memo","Changer le statut en Avoir"
"Change products status to Destroy","Changer le statut en Détruit"
"Remove products from this supplier return","Supprimer les produits de ce retour fournisseur"
"There is at least one selected product with an unknown supplier.","Il y a au moins un produit séeacute;lectionn&eacute; dont le fournisseur est inconnu."
"There is at least one selected product with an unknown serial.","Il y a au moins un produit séeacute;lectionn&eacute; dont le num&eacute;ro de s&eacute;rie n'est pas renseign&eacute."
"There is more than one supplier for the selected products.","Il y a plus d'un fournisseur pour les produits sélectionn&eacute;s"
"Products Status have been successfully changed","Les status des produits ont été changée avec succès"
"The supplier has been successfully assign to the products","Le fournisseur a correctement été assigné aux produits"
"Supplier Returns","Retours fournisseur"
"Sent to supplier","Envoyé au fournisseur"
"Create new supplier return","Cr&eacute;ation d'un nouveau retour fournisseur"
"Updating reference","Mise &agrave; jour de la r&eacute;f&eacute;rence"
"Updating supplier reference","Mise &agrave; jour de la r&eacute;f&eacute;rence fournisseur"
"Updating comments","Mise &agrave; jour du commentaire"
"Fill comments and click button to send return request to supplier by email.","Entrez un commentaire et cliquez sur le bouton pour envoyer la demande de retour au fournisseur par email."
"Supplier email address:","Adresse mail du fournisseur:"
"Warning: Supplier email is not set !","Attention: l'adresse mail du fournisseur n'est pas définie"
"Set supplier return status to inquiry after sending mail","Changer le statut du retour fournisseur en <b>Demande en cours</b> après avoir envoyé le mail"
"Manufacturer attribute name","Nom de l'attribut Fabricant"
"Template Supplier Return","Template Retour fournisseur"
"Warehouse for destroyed products", "Dépot pour les produits détruits"
"Warehouse for product back from supplier","Dépot pour les produits revenant de chez le fournisseur"
"Supplier Return","Retours Fournisseur"
"Purchase Price","Prix d'achat"
"Inquiry","Demande en cours"
"Inquiry at","Retour demand&eacute; le"
"Sent to supplier at","Envoy&eacute; au fournisseur le"
"Customer Returns","Retours Client"
"Supplier Returns","Retours Fournisseur"
"Pending Products","Produits en attente"
"Warning! The supplier and the purchase order may change on serial changes.","Attention! le fournisseur et le numéro de commande peuvent changer automatiquement lors d'un changment de serial)"
"There is no purchase order for this product and this supplier.","Il n'y a pas de commande pour ce produit et ce fournisseur."
"You must select a supplier before to select a purchase order","Vous devez sélectionner un fournisseur avant de sélectionner une commande"
"Check Result: ","Résultat de la v&eacute;rification: "
"Supplier: ","Fournisseur: "
"Purchase Order: ","Commande fournisseur: "
"   Check Serial   ","   Vérification du numéro de série   "
"Unable to found Supplier","Impossible de trouver le fournisseur"
"Unable to found Purchase Order","Impossible de trouver la commande fournisseur"
"Add predefined text :","Ajouter un text pr&eacute;d&eacute;fini"
"Predefined msg","Messages pr&eacute;d&eacute;finis"
"New Product Return","Nouveau retour produit"
" will be charged"," seront factur&eacute;s"
" will be refunded"," seront rembours&eacute;s"
"Adjust price","Ajuster le prix"
